date,vix
2019-12-23,15.987665566790406
2019-12-24,15.297704649794607
2019-12-25,14.878197884987667
2019-12-26,14.64914376044051
2019-12-27,15.006572942369065
2019-12-30,16.21860282984206
2019-12-31,17.427711938190207
2020-01-01,18.255142999684452
2020-01-02,19.0825740611787
2020-01-03,18.808855062038397
2020-01-06,19.596166976552873
2020-01-07,19.833924252705682
2020-01-08,19.765707941340146
2020-01-09,19.07461780529458
2020-01-10,18.3225779892887
2020-01-13,17.777103719001836
2020-01-14,17.288665645544697
2020-01-15,17.209626587786914
2020-01-16,16.443513906408455
2020-01-17,15.349238153889372
2020-01-20,15.643197737178054
2020-01-21,17.350072108463273
2020-01-22,17.19828041473074
2020-01-23,20.77902916647309
2020-01-24,21.994969384337058
2020-01-27,23.210909602201024
2020-01-28,24.42684982006499
2020-01-29,25.642790037928958
2020-01-30,26.858730255792924
2020-01-31,28.07467047365689
2020-02-03,29.290610691520858
2020-02-04,27.85585207813256
2020-02-05,25.66459401597837
2020-02-06,25.528824596600096
2020-02-07,26.67757421767185
2020-02-10,25.535053634290122
2020-02-11,23.278697897964555
2020-02-12,21.365729490689116
2020-02-13,22.143027076397996
2020-02-14,21.243601569942758
2020-02-17,21.792693777975817
2020-02-18,22.671510806547488
2020-02-19,22.95428649513418
2020-02-20,23.27069804663814
2020-02-21,26.015414939229807
2020-02-24,27.502250968183812
2020-02-25,27.384558343363523
2020-02-26,28.06800610998334
2020-02-27,26.26471372211805
2020-02-28,29.542803386063728
2020-03-02,27.67693262668287
2020-03-03,26.723383024567255
2020-03-04,26.78078336156941
2020-03-05,26.40269467081332
2020-03-06,27.96351392706801
2020-03-09,33.853092357072995
2020-03-10,32.38219677427679
2020-03-11,32.37891204323666
2020-03-12,34.43458758016482
2020-03-13,40.601838149328714
2020-03-16,42.54566006052578
2020-03-17,43.42694898752157
2020-03-18,38.64271437651542
2020-03-19,40.33588649135992
2020-03-20,37.667938166737095
2020-03-23,40.0136323647112
2020-03-24,39.636692041381906
2020-03-25,38.216492417527256
2020-03-26,37.04933489081743
2020-03-27,36.98150089296352
2020-03-30,35.720509813078245
2020-03-31,33.340733884376746
2020-04-01,31.311954215729404
2020-04-02,30.458854056310113
2020-04-03,31.828563531183157
2020-04-06,30.833847887778205
2020-04-07,29.839132244373257
2020-04-08,27.722043142717762
2020-04-09,25.97495458797073
2020-04-10,25.208272876295894
2020-04-13,22.569382378682796
2020-04-14,21.73853333364133
2020-04-15,22.312714608060727
2020-04-16,22.24149626448253
2020-04-17,21.930768222769327
2020-04-20,22.82723596424512
2020-04-21,22.376094856992374
2020-04-22,22.536212215744285
2020-04-23,21.68707355913601
2020-04-24,20.743181802146875
2020-04-27,20.486887038424378
2020-04-28,20.640716663426023
2020-04-29,21.15186112826246
2020-04-30,23.709287862545285
2020-05-01,23.558684038484476
2020-05-04,23.40808021442367
2020-05-05,23.25747639036286
2020-05-06,23.10687256630205
2020-05-07,20.551908726363173
2020-05-08,19.968887593066153
2020-05-11,20.34603780261057
2020-05-12,20.074607290255624
2020-05-13,19.92679918858215
2020-05-14,19.25136140566013
2020-05-15,19.082584597919368
2020-05-18,18.709265268871743
2020-05-19,17.90853113365456
2020-05-20,17.132140357232124
2020-05-21,18.72569165840728
2020-05-22,21.78903763444248
2020-05-25,20.298107346959952
2020-05-26,19.23531445053539
2020-05-27,20.62458169316107
2020-05-28,20.93067054048235
2020-05-29,21.022260323846577
2020-06-01,19.683210778913416
2020-06-02,19.226716372136995
2020-06-03,19.637430231512724
2020-06-04,19.702946732399152
2020-06-05,19.363138254203186
2020-06-08,18.7180317615849
2020-06-09,19.235702538822515
2020-06-10,19.400933461508853
2020-06-11,20.03743792630185
2020-06-12,19.48586192133101
2020-06-15,20.080375629839743
2020-06-16,18.96086503676094
2020-06-17,19.47362495910805
2020-06-18,19.109637083500893
2020-06-19,20.31372720808253
2020-06-22,21.592743603694807
2020-06-23,22.36669772453069
2020-06-24,22.51143463533988
2020-06-25,22.044000547689674
2020-06-26,21.576566460039466
2020-06-29,21.109132372389258
2020-06-30,19.575306255639504
2020-07-01,20.66612766047971
2020-07-02,23.591166006923665
2020-07-03,25.685371903644615
2020-07-06,34.223924221170556
2020-07-07,34.205646600717
2020-07-08,34.21945912616617
2020-07-09,34.055110682766504
2020-07-10,32.87889311693423
2020-07-13,29.379154826051106
2020-07-14,30.268554518258068
2020-07-15,30.47013071425651
2020-07-16,33.856753040571654
2020-07-17,28.604250631981525
2020-07-20,29.53711146087144
2020-07-21,28.39538223215683
2020-07-22,27.93284564146019
2020-07-23,28.70360912374118
2020-07-24,32.90634701892586
2020-07-27,31.618433952717144
2020-07-28,31.043743600713125
2020-07-29,31.533398845815714
2020-07-30,31.8454244095983
2020-07-31,32.55772661479887
2020-08-03,33.99182538359281
2020-08-04,32.50574490022547
2020-08-05,32.34204738485776
2020-08-06,32.854826603791835
2020-08-07,32.30840492353773
2020-08-10,32.34260837860871
2020-08-11,29.936330536942684
2020-08-12,29.852544448570573
2020-08-13,28.843919551698686
2020-08-14,28.818479766451304
2020-08-17,30.726078468357294
2020-08-18,30.878854971731496
2020-08-19,29.681190013910307
2020-08-20,28.301099278150556
2020-08-21,28.553437986678766
2020-08-24,27.8335758872439
2020-08-25,27.256693984616664
2020-08-26,27.859224985189858
2020-08-27,26.7922004582405
2020-08-28,27.130946093712353
2020-08-31,27.513277577371646
2020-09-01,27.48770976492867
2020-09-02,27.586599906059472
2020-09-03,27.78872934427053
2020-09-04,27.59055068395611
2020-09-07,28.60380876856654
