timestamp,open,high,low,close,volume,date,vix,vix_mean_bb,vix_upper_bb,vix_lower_bb,log_return,H,signal,trading_day_index,position,action,bar_return,strategy_return,trade,fee,net_strategy_return
2019-12-23,4031.0,4053.0,3972.6,3979.4,73788.0,2019-12-23,15.987665566790406,,,,,,0,0,0,,-0.010171173406102704,-0.0,1,0.0001,-0.0001
2019-12-24,3990.0,4008.6,3977.4,3998.4,48197.0,2019-12-24,15.297704649794609,,,,0.0047632269355403194,,0,1,0,,0.0015037593984962407,0.0,0,0.0,0.0
2019-12-25,3996.0,4011.2,3982.4,4002.8,57465.0,2019-12-25,14.878197884987667,,,,0.00109983513561301,,0,2,0,,0.0022522522522522522,0.0,0,0.0,0.0
2019-12-26,4005.0,4036.0,4003.6,4034.6,67696.0,2019-12-26,14.64914376044051,,,,0.007913047983949213,,0,3,0,,0.008439450686641743,0.0,0,0.0,0.0
2019-12-27,4038.8,4083.0,4028.0,4028.0,88618.0,2019-12-27,15.006572942369065,,,,-0.001637189361797335,,0,4,0,,-0.0027731009210657303,-0.0,0,0.0,-0.0
2019-12-30,4027.6,4106.2,4014.2,4090.8,89234.0,2019-12-30,16.21860282984206,,,,0.015470575093404812,,0,5,0,,0.025722514648922414,0.0,0,0.0,0.0
2020-01-02,4131.2,4190.6,4131.2,4160.4,81817.0,2020-01-02,19.0825740611787,,,,0.016870673547120192,,0,6,0,,0.009682416731216111,0.0,0,0.0,0.0
2020-01-03,4171.2,4175.2,4145.2,4151.8,59449.0,2020-01-03,18.8088550620384,,,,-0.0020692483502838246,,0,7,0,,-0.009110088224012275,-0.0,0,0.0,-0.0
2020-01-06,4133.2,4184.8,4103.4,4132.6,84031.0,2020-01-06,19.596166976552876,,,,-0.0046352262991898215,,0,8,0,,0.003483983354301884,0.0,0,0.0,0.0
2020-01-07,4147.6,4173.8,4140.2,4162.4,67921.0,2020-01-07,19.83392425270568,,,,0.007185082146589322,,0,9,0,,-0.0025556948596779736,-0.0,0,0.0,-0.0
2020-01-08,4137.0,4160.2,4105.2,4125.6,78430.0,2020-01-08,19.765707941340143,,,,-0.00888036723934435,,0,10,0,,0.0038675368624607204,0.0,0,0.0,0.0
2020-01-09,4153.0,4174.6,4145.2,4166.4,67568.0,2020-01-09,19.07461780529458,,,,0.00984088983744613,,0,11,0,,0.006982903924873585,0.0,0,0.0,0.0
2020-01-10,4182.0,4188.6,4151.6,4165.0,58593.0,2020-01-10,18.3225779892887,,,,-0.00033607797325226627,,0,12,0,,-0.0020564323290292595,-0.0,0,0.0,-0.0
